"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,16,256,16,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,8,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,16,256,8,100000,0,1.33333333333333,1.29059280537853,-0.0427405279548003,0.278561749247117,0.916966429908824,0.919626558903308,0.00266012899448353,0.0173522427226455,0,0,0
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,16,256,16,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,8,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,16,256,8,100000,0,1.33333333333333,1.29059280537853,-0.0427405279548003,0.278561749247117,0.916966429908824,0.919626558903308,0.00266012899448353,0.0173522427226455,0,0,0
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,4096,16,256,4096,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,8,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,16,256,8,100000,0,1.33333333333333,1.29059280537853,-0.0427405279548003,0.278561749247117,0.916966429908824,0.919626558903308,0.00266012899448353,0.0173522427226455,0,0,0
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,256,16,256,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,256,16,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.995115597525236,0.995543315698466,0.000427718173230174,0.00402464683135673,0,0,9e-05
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,4096,256,16,256,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,256,16,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.995115597525236,0.995543315698466,0.000427718173230174,0.00402464683135673,0,0,9e-05
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,4096,256,16,4096,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,256,16,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.995115597525236,0.995543315698466,0.000427718173230174,0.00402464683135673,0,0,9e-05
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,32,128,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.416666666666667,16,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,32,128,16,100000,0,1.33333333333333,1.23057374204725,-0.102759591286086,0.989673323459081,0.958645392390037,0.961826197220202,0.00318080483016558,0.0306991478974221,0,0,0
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,32,128,32,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.416666666666667,16,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,32,128,16,100000,0,1.33333333333333,1.23057374204725,-0.102759591286086,0.989673323459081,0.958645392390037,0.961826197220202,0.00318080483016558,0.0306991478974221,0,0,0
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,8,512,8,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.25,4,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,8,512,4,100000,0,1.33333333333333,1.12647515567367,-0.206858177659659,0.218225781836242,0.834255942689678,0.859426816425543,0.0251708737358654,0.0266244876866827,0,0,0
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","constant_sensitivity","N_4096","N = 4096",0.5,4096,128,32,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.583333333333333,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,128,32,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.989905568218821,0.990789519110164,0.000883950891342522,0.00831760345147056,0,0,0
