"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,64,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00188,0.000136984829993823,-0.00217098434481222,4.43284676687582e-06
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,64,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00053,0.000143169116690576,-0.000844513631468056,2.0199303632159e-05
"gaussian_phi050_N512_M64_Q8","gaussian_phi050_N512","gaussian","Gaussian",0.5,512,64,8,"VK_leading_oracle_minus_F_feasible_leading",0.00054,0.000145592911822519,-0.000869061343831433,2.03082995762901e-05
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,10,100,"K_asym_full_minus_K_leading",-0.00094,9.69085027878314e-05,-0.000690833894219693,3.58261496633255e-07
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,10,100,"V_oracle_minus_V_feasible",0.00151,0.000157725862731759,0.00103640160563714,1.84068841837234e-05
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,10,100,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00105,0.000102416209121403,-0.000744697037271839,3.88450316442876e-07
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,10,100,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00143,0.0001627261988684,0.00103440133649713,1.8486862884093e-05
"gaussian_phi050_N1000_M10_Q100","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,10,100,"VK_leading_oracle_minus_F_feasible_leading",0.00188,0.00016237277988997,0.00103272275965308,1.85516039134e-05
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,100,10,"K_asym_full_minus_K_leading",-0.00097,9.8441291676202e-05,-0.000817011281212788,1.47298203287057e-06
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,100,10,"V_oracle_minus_V_feasible",0.00026,0.000117471111319422,-0.000256710476379073,8.94335969791838e-06
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,100,10,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.0011,0.000104823708578254,-0.000821285016423867,1.48192291538745e-06
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,100,10,"VK_asym_full_oracle_minus_VK_asym_full_feasible",6e-05,0.000104881237601108,-0.000353848946778067,9.56115655412749e-06
"gaussian_phi050_N1000_M100_Q10","gaussian_phi050_N1000","gaussian","Gaussian",0.5,1000,100,10,"VK_leading_oracle_minus_F_feasible_leading",6e-05,0.000118322035145783,-0.000359292657352207,9.592914516956e-06
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,8,512,"K_asym_full_minus_K_leading",-0.00022,4.68992323538451e-05,-7.93909572245021e-05,1.77897379292898e-08
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,8,512,"V_oracle_minus_V_feasible",0.0033,0.000181359942970572,0.00149911116862429,3.47954398899357e-06
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,8,512,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00021,4.58211740988809e-05,-8.7018697534762e-05,1.9503957168494e-08
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,8,512,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00328,0.000180811346235321,0.00150000858328408,3.48182732117247e-06
"gaussian_phi050_N4096_M8_Q512","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,8,512,"VK_leading_oracle_minus_F_feasible_leading",0.00328,0.000180811346235321,0.00150113257601912,3.48468820745482e-06
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,16,256,"K_asym_full_minus_K_leading",-0.00019,4.35850662105722e-05,-8.39540105590618e-05,2.64867540110487e-08
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,16,256,"V_oracle_minus_V_feasible",0.00033,0.00013076345816328,-2.23780468814242e-05,6.96953680395615e-06
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,16,256,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00011,3.31645895331148e-05,-8.77635979497464e-05,2.77037486070966e-08
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,16,256,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00032,0.00013341347005284,-2.31456518929784e-05,6.98455781918919e-06
"gaussian_phi050_N4096_M16_Q256","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,16,256,"VK_leading_oracle_minus_F_feasible_leading",3e-04,0.000132662262881197,-2.34434522789313e-05,6.99036083391713e-06
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,32,128,"K_asym_full_minus_K_leading",-0.00015,3.8727122251724e-05,-8.72599115940066e-05,3.96675540888996e-08
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,32,128,"V_oracle_minus_V_feasible",-9e-05,0.000159687739046365,-0.000207540419341043,1.18088121018374e-05
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,32,128,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00022,4.68992323538451e-05,-8.92083590064753e-05,4.05983332008313e-08
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,32,128,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00011,0.000164621231928023,-0.000212464887824491,1.18704498937441e-05
"gaussian_phi050_N4096_M32_Q128","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,32,128,"VK_leading_oracle_minus_F_feasible_leading",0.00016,0.000161245167369568,-0.000213271932863512,1.18804825081111e-05
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,64,64,"K_asym_full_minus_K_leading",-0.00016,3.9996999857489e-05,-9.07537067183177e-05,5.92320415635189e-08
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,64,64,"V_oracle_minus_V_feasible",0.00031,0.000126092021920421,-0.000114188372555305,6.43531415064224e-06
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,64,64,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00014,3.74141416870678e-05,-9.17747173324494e-05,5.99767787001415e-08
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,64,64,"VK_asym_full_oracle_minus_VK_asym_full_feasible",-3e-05,0.000126095796922419,-0.00012031025764828,6.51053890934104e-06
"gaussian_phi050_N4096_M64_Q64","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,64,64,"VK_leading_oracle_minus_F_feasible_leading",-5e-05,0.000127671993802008,-0.000120782240353184,6.51625921953885e-06
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,128,32,"K_asym_full_minus_K_leading",-2e-04,4.47171107765245e-05,-9.53046449533242e-05,9.12993667874013e-08
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,128,32,"V_oracle_minus_V_feasible",-5e-05,9.94991155776774e-05,-5.72387219054982e-05,3.16697532405856e-06
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,128,32,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00022,4.68992323538451e-05,-9.58386629759975e-05,9.18946614628869e-08
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,128,32,"VK_asym_full_oracle_minus_VK_asym_full_feasible",6e-05,7.34848147591052e-05,-6.38905874503101e-05,3.24707536630737e-06
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,128,32,"VK_leading_oracle_minus_F_feasible_leading",0.00016,7.0709221449115e-05,-6.41462891143236e-05,3.25006950392317e-06
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,256,16,"K_asym_full_minus_K_leading",-0.00021,4.58211740988809e-05,-9.95350847747297e-05,1.39446134915088e-07
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,256,16,"V_oracle_minus_V_feasible",5e-05,7.00001714300758e-05,-2.74155349332813e-05,1.4934529069894e-06
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,256,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00018,4.24228004372645e-05,-9.97882772881011e-05,1.39859235964149e-07
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,256,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",7e-05,5.91606795080989e-05,-3.41572789186346e-05,1.57025560873777e-06
"gaussian_phi050_N4096_M256_Q16","gaussian_phi050_N4096","gaussian","Gaussian",0.5,4096,256,16,"VK_leading_oracle_minus_F_feasible_leading",3e-05,5.56778411957576e-05,-3.42930477515194e-05,1.57171699115287e-06
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,20,400,"K_asym_full_minus_K_leading",-0.00013,3.6053349337336e-05,-3.08817857826075e-05,7.6857925659908e-09
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,20,400,"V_oracle_minus_V_feasible",0.00016,0.000128840637995549,-3.57155000972694e-05,4.25042682037883e-06
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,20,400,"VK_asym_full_oracle_minus_VK_leading_oracle",-5e-05,2.23602325524579e-05,-3.19796458546285e-05,7.96057435648544e-09
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,20,400,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00022,0.000123286933600767,-3.60040630518899e-05,4.25669605222744e-06
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,20,400,"VK_leading_oracle_minus_F_feasible_leading",0.00016,0.00012165480672345,-3.60869288952076e-05,4.25849218322385e-06
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,400,20,"K_asym_full_minus_K_leading",-0.00016,3.9996999857489e-05,-3.62210906953181e-05,4.48133088090387e-08
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,400,20,"V_oracle_minus_V_feasible",2e-05,5.47724930988174e-05,-9.07024644992171e-06,6.02201899235665e-07
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,400,20,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00013,3.6053349337336e-05,-3.6282899733228e-05,4.49027632036491e-08
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,400,20,"VK_asym_full_oracle_minus_VK_asym_full_feasible",5e-05,4.79582943814727e-05,-1.07760356263642e-05,6.27626426994116e-07
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","Gaussian",0.5,8000,400,20,"VK_leading_oracle_minus_F_feasible_leading",7e-05,4.35886453070062e-05,-1.07973544807689e-05,6.27929986882711e-07
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,9,27,"K_asym_full_minus_K_leading",-0.00406,0.00020108597254827,-0.00604333976453788,6.42221534105696e-06
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,9,27,"V_oracle_minus_V_feasible",0.00345,0.000205381101404117,0.00329217950279318,5.06610347371492e-05
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,9,27,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00337,0.000183266927915728,-0.00657987936423392,7.09481860857121e-06
