"scenario_id","innovation","module","panel","series","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","design_id","alpha_effective","L","seed"
"gaussian_phi020_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,4096,16,256,16,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N4096_M16_Q256",0.333333333333333,8,1847110599
"gaussian_phi020_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,4096,64,64,64,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N4096_M64_Q64",0.5,17,1847110599
"gaussian_phi020_N8100","gaussian","regular_distribution_dependence","gaussian_phi_0.2","gaussian, phi = 0.2",0.2,8100,90,90,8100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.2","gaussian_phi020_N8100_M90_Q90",0.5,19,1556155319
"gaussian_phi080_N64","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,64,8,8,64,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N64_M8_Q8",0.5,4,22624149
"gaussian_phi080_N100","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,100,10,10,100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N100_M10_Q10",0.5,5,58624257
"gaussian_phi080_N225","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,225,15,15,225,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N225_M15_Q15",0.5,7,183624632
"gaussian_phi080_N400","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,400,20,20,400,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N400_M20_Q20",0.5,10,358625157
"gaussian_phi080_N1024","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,1024,32,32,1024,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N1024_M32_Q32",0.5,13,982627029
"gaussian_phi080_N4096","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,4096,64,64,4096,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N4096_M64_Q64",0.5,17,1907152599
"gaussian_phi080_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,4096,64,64,64,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N4096_M64_Q64",0.5,17,1907152599
"gaussian_phi080_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,4096,256,16,256,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N4096_M256_Q16",0.666666666666667,17,1907152599
"gaussian_phi080_N4096","gaussian","fixed_N_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,4096,16,256,16,NA,NA,"Fixed N=4096 distribution/dependence block comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N4096_M16_Q256",0.333333333333333,8,1907152599
"gaussian_phi080_N8100","gaussian","regular_distribution_dependence","gaussian_phi_0.8","gaussian, phi = 0.8",0.8,8100,90,90,8100,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.8","gaussian_phi080_N8100_M90_Q90",0.5,19,1616197319
"laplace_phi050_N64","laplace","regular_distribution_dependence","laplace_phi_0.5","laplace, phi = 0.5",0.5,64,8,8,64,0.5,NA,"Balanced distribution/dependence design","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular","phi = 0.5","laplace_phi050_N64_M8_Q8",0.5,4,2140086896
"laplace_phi050_N400","laplace","regular_distribution_dependence","laplace_phi_0.5","laplace, phi = 0.5",0.5,400,20,20,400,0.5,NA,"Balanced distribution/dependence design","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular","phi = 0.5","laplace_phi050_N400_M20_Q20",0.5,10,328604258
"laplace_phi050_N1024","laplace","regular_distribution_dependence","laplace_phi_0.5","laplace, phi = 0.5",0.5,1024,32,32,1024,0.5,NA,"Balanced distribution/dependence design","Standardized Laplace",2,0,3,"inside formal moment assumptions","regular","phi = 0.5","laplace_phi050_N1024_M32_Q32",0.5,13,952606130
