"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",2,1.05409255338946,67,61,1.046875,1.98630565529326,0.2,4096,0.416666666666667,0.52704627669473,0.94568,-0.00431999999999999,0.00071672405847718,0,1.96832245024876,0.946477003232596,1.5265032868885,1.24487642248591,0.00096,0.000388834535404148,0.339222952641889,0.244876422485905
"C = 1",1.89736659610103,1,64,64,1,1.89736659610103,0.2,4096,0.416666666666667,0.52704627669473,0.94507,-0.00492999999999999,0.00072050465022788,0,1.91666666666667,0.946569459201157,1.74205120471303,1.21220643639788,0.00157,0.000391761261189589,0.554770870466422,0.212206436397879
"relative grid",0.5,0.471404520791032,8,32,0.5,0.530330085889911,0.5,256,1.33333333333333,0.942809041582063,0.9162,-0.0337999999999999,0.00087622805250688,0,3.41666666666667,0.925538752564772,1.6691513450051,1.20797408452702,-0.00127,0.00059235747642264,-0.0627166333774107,0.207974084527019
"relative grid",0.6,0.565685424949238,9,28,0.5625,0.59662134662615,0.5,256,1.33333333333333,0.942809041582063,0.91792,-0.03208,0.000868002728106312,0,3.21412037037037,0.92698886039037,1.58421228247822,1.13636315471935,-0.00299,0.000597673967261174,-0.147655695904298,0.136363154719353
"relative grid",0.7,0.659966329107444,11,23,0.6875,0.729203868098627,0.5,256,1.33333333333333,0.942809041582063,0.91751,-0.0324899999999999,0.00086997356224198,0,2.97064393939394,0.928732002992154,1.60445938459218,1.05028123701809,-0.00258,0.000592736829773124,-0.12740859379033,0.050281237018087
"relative grid",0.8,0.754247233265651,12,21,0.75,0.795495128834866,0.5,256,1.33333333333333,0.942809041582063,0.91839,-0.0316099999999999,0.000865735571060817,0,2.90277777777778,0.929217883276575,1.56100218981098,1.02628692547214,-0.00346,0.000593029342307789,-0.170865788571528,0.0262869254721418
"relative grid",0.9,0.848528137423857,14,18,0.875,0.928077650307344,0.5,256,1.33333333333333,0.942809041582063,0.91614,-0.03386,0.000876512979938118,1e-05,2.83630952380952,0.929693755395669,1.67211433555837,1.00278684891485,-0.00121,0.000587782964952319,-0.0597536428241472,0.00278684891485104
"relative grid",1,0.942809041582063,15,17,0.9375,0.994368911043582,0.5,256,1.33333333333333,0.942809041582063,0.91493,-0.0350699999999999,0.000882230667682778,2e-05,2.82847222222222,0.929749865690308,1.73186797838251,1.00001594436556,0,0,0,1.59443655582958e-05
"relative grid",1.1,1.03708994574027,17,15,1.0625,1.12695143251606,0.5,256,1.33333333333333,0.942809041582063,0.91193,-0.0380699999999999,0.000896178972638836,0.00012,2.84865196078431,0.929605391082071,1.88001750604569,1.00715055935547,0.003,0.000619607810746759,0.148149527663175,0.00715055935547171
"relative grid",1.2,1.13137084989848,18,14,1.125,1.1932426932523,0.5,256,1.33333333333333,0.942809041582063,0.90978,-0.0402199999999999,0.000905982072670315,0.00014,2.87268518518519,0.929433327867806,1.98619133420429,1.01564758732929,0.00515,0.000649645284282087,0.254323355821784,0.0156475873292887
