"M","Q","x","procedure","multiplier","lower_log","upper_log","lower_geometric_vix","upper_geometric_vix","sample_geometric_vix","simulated_size_gaussian","size_controlled_4_6"
35,12,3.79802427230243,"Combined",0.673647787969937,2.75086495526972,3.06605027743868,15.6561679142551,21.4569859451489,18.3503635861491,0.0757333333333333,FALSE
42,10,4.55762912676291,"Raw",1,2.77590718462358,3.05040661268196,16.0531835932118,21.1239319351443,18.3503635861491,0.135166666666667,FALSE
42,10,4.55762912676291,"Variance",0.811622859383217,2.76284818986115,3.06501337891658,15.8449080472678,21.4347487589789,18.3503635861491,0.1043,FALSE
42,10,4.55762912676291,"Bartlett",0.848357312547762,2.76569252138955,3.06181482872749,15.8900403740137,21.3662981689647,18.3503635861491,0.1119,FALSE
42,10,4.55762912676291,"Combined",0.688546187788676,2.75194315072766,3.07737127425878,15.6730574268507,21.7012806353456,18.3503635861491,0.0832333333333333,FALSE
60,7,6.51089875251844,"Raw",1,2.81133487782858,2.99648006608867,16.6321052355353,20.0149614440245,18.3503635861491,0.163633333333333,FALSE
60,7,6.51089875251844,"Variance",0.873434643877609,2.80464596008617,3.00197844057839,16.5212256971979,20.1253143000887,18.3503635861491,0.143633333333333,FALSE
60,7,6.51089875251844,"Bartlett",0.78522636027459,2.79914835225517,3.00648593302521,16.4306476867504,20.2162337577327,18.3503635861491,0.1318,FALSE
60,7,6.51089875251844,"Combined",0.685843906349748,2.79187792882156,3.01243361887636,16.3116231245557,20.3368318494864,18.3503635861491,0.113233333333333,FALSE
70,6,7.59604854460485,"Raw",1,2.78548516407037,3.03519915592758,16.2076793532418,20.8051209500666,18.3503635861491,0.1767,FALSE
70,6,7.59604854460485,"Variance",0.894444532110851,2.77954039263,3.04122179804869,16.1116142294243,20.9308008304155,18.3503635861491,0.160766666666667,FALSE
70,6,7.59604854460485,"Bartlett",0.749723967169812,2.76983464600258,3.05104353877482,15.9559954040252,21.1373906042113,18.3503635861491,0.138833333333333,FALSE
70,6,7.59604854460485,"Combined",0.670586503027493,2.76354480235856,3.05740044968323,15.8559496536478,21.2721871038577,18.3503635861491,0.125633333333333,FALSE
84,5,9.11525825352582,"Raw",1,2.79851782110838,3.05710148084472,16.4202909170979,21.265828333371,18.3503635861491,0.206233333333333,FALSE
84,5,9.11525825352582,"Variance",0.915529785452048,2.79508331958989,3.06319891651174,16.363992137472,21.3958914763985,18.3503635861491,0.193933333333333,FALSE
84,5,9.11525825352582,"Bartlett",0.699797482511724,2.78475530138806,3.08243858356335,16.1958542887766,21.8115268265003,18.3503635861491,0.160666666666667,FALSE
84,5,9.11525825352582,"Combined",0.640685439023842,2.78146199063898,3.08890074498471,16.1426040406929,21.9529328358417,18.3503635861491,0.1511,FALSE
