scenario_id,group,N1,N2,M1,M2,model1,p11,p12,model2,p21,p22,innov1,innov2,lrv_sd1,lrv_sd2,effect_c,delta0,L_rule,theory_scope,block_ratio,geom_M,base_id,scenario_no,B,threads,seed,delta_true,L_vc,L_hac1,L_hac2,Q1,Q2,Q,method,nominal,coverage,coverage_fail_as_miss,failure_rate,mcse,EN_theory,scaled_emp,scaled_theory,mcse_scaled,theory_signal_to_mcse
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCBC_feasible,0.95,0.9496,0.9496,0,0.0021876891918186,,-1.38239999999985,,7.560653846925082,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCBC_feasible,0.99,0.9894,0.9894,0,0.0010240917927607,,-2.07360000000016,,3.539261235780979,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_feasible,0.9,0.8619,0.8619,0,0.0034500491300849,,-131.6736,,11.923369793573414,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_feasible,0.95,0.9194,0.9194,0,0.0027221983763127,,-105.7536,,9.40791758853669,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_feasible,0.99,0.9799,0.9799,0,0.0014034240271564,,-34.9056,,4.850233437852519,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_feasible,0.9,0.8999,0.8999,0,0.003001332870576,,-0.345599999999962,,10.372606400710655,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_feasible,0.95,0.9496,0.9496,0,0.0021876891918186,,-1.38239999999985,,7.560653846925082,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_feasible,0.99,0.9894,0.9894,0,0.0010240917927607,,-2.07360000000016,,3.539261235780979,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_fixed075,0.9,0.8607,0.8607,0,0.0034625931034414,,-135.8208,,11.966721765493478,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_fixed075,0.95,0.9188,0.9188,0,0.0027314201434418,,-107.8272,,9.43978801573486,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,ABEL_fixed075,0.99,0.9794,0.9794,0,0.0014204098000225,,-36.6335999999998,,4.90893626887776,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_fixed075_oracleVC,0.9,0.8968,0.8968,0,0.0030421992045229,,-11.0591999999999,,10.513840450831143,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_fixed075_oracleVC,0.95,0.9472,0.9472,0,0.0022363398668359,,-9.6767999999997,,7.72879057978487,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,VCABEL_fixed075_oracleVC,0.99,0.9897,0.9897,0,0.0010096489488926,,-1.03679999999989,,3.489346767372826,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_HAC,0.9,0.849,0.849,0,0.003580488793447,,-176.256,,12.374169270152832,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_HAC,0.95,0.9114,0.9114,0,0.0028416551514918,,-133.4016,,9.82076020355566,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_HAC,0.99,0.9749,0.9749,0,0.0015642886562268,,-52.1856,,5.40618159591982,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_oracle,0.9,0.8982,0.8982,0,0.0030238511868145,,-6.22080000000008,,10.450429701630913,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_oracle,0.95,0.9488,0.9488,0,0.0022040544457884,,-4.14719999999993,,7.617212164644711,
ratio_sym_normal_M6_24,blockratio_theory,1728,1728,6,24,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.25,12,ratio_sym_normal_M6_24,1,10000,7,21260832,0,14,7,7,288,72,360,Wald_oracle,0.99,0.9894,0.9894,0,0.0010240917927607,,-2.07360000000016,,3.539261235780979,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BEL,0.9,0.8662,0.8662,0,0.003404373070038,,-116.8128,,11.765513330051329,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BEL,0.95,0.9271,0.9271,0,0.0025997228698459,,-79.1423999999997,,8.98464223818743,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BEL,0.99,0.9827,0.9827,0,0.0013038677080133,,-25.2287999999999,,4.506166798893965,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BC_oracle,0.9,0.8678,0.8678,0,0.0033870807489636,,-111.2832,,11.705751068418202,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BC_oracle,0.95,0.9285,0.9285,0,0.0025765820382825,,-74.3039999999999,,8.90466752430432,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,BC_oracle,0.99,0.9836,0.9836,0,0.0012700803124212,,-22.1183999999999,,4.3893975597276675,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,VC_oracle,0.9,0.9003,0.9003,0,0.0029959958277674,,1.03679999999989,,10.354161580764135,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,VC_oracle,0.95,0.9513,0.9513,0,0.0021524012172455,,4.49280000000027,,7.438698606800449,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,VC_oracle,0.99,0.9922,0.9922,0,0.0008797249570178,,7.60319999999993,,3.0403294514535166,
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,VCBC_oracle,0.9,0.9019,0.9019,0,0.0029744981089252,-3.312501192309122e-05,6.56640000000004,-0.1144800412062032,10.279865464445491,0.011136336521343609
ratio_sym_normal_M8_18,blockratio_theory,1728,1728,8,18,ar1,0.6,0,ar1,0.6,0,normal,normal,1,1,0,0,loglog,unequal_blocks_main_theorem,0.444444444444444,12,ratio_sym_normal_M8_18,2,10000,7,22260835,0,14,7,7,216,96,312,VCBC_oracle,0.95,0.9523,0.9523,0,0.0021313073452695,2.0426583402809065e-05,7.94880000000028,0.0705942722401081,7.365798185251392,0.009584062781065559
