"M","Q","x","calibration","multiplier","cutoff","lower_log","upper_log","lower_geometric_vix","upper_geometric_vix","sample_geometric_vix"
35,12,3.79802427230241,"VC + xQ boundary fitted-x",0.772236505452971,5.74252135885981,2.73031101522297,3.08757011681209,15.337656522838,21.9237410709381,18.3503635861491
35,12,3.79802427230241,"Combined + chi-squared",0.673647787969937,3.84145882069412,2.75086495526972,3.06605027743868,15.6561679142551,21.4569859451489,18.3503635861491
42,10,4.5576291267629,"VC + chi-squared",0.811622859383216,3.84145882069412,2.76284818986115,3.06501337891659,15.8449080472678,21.4347487589789,18.3503635861491
42,10,4.5576291267629,"VC + interior finite-Q",0.811622859383216,6.06813185563923,2.73133815302638,3.10117650087614,15.3534185031456,22.2240825592942,18.3503635861491
42,10,4.5576291267629,"VC + xQ boundary fitted-x",0.811622859383216,6.45475785917143,2.7268250371184,3.10647851891054,15.2842828717633,22.3422279736111,18.3503635861491
42,10,4.5576291267629,"Combined + chi-squared",0.688546187788675,3.84145882069412,2.75194315072766,3.07737127425878,15.6730574268507,21.7012806353456,18.3503635861491
60,7,6.51089875251842,"VC + chi-squared",0.873434643877609,3.84145882069412,2.80464596008617,3.00197844057839,16.5212256971979,20.1253143000887,18.3503635861491
60,7,6.51089875251842,"VC + interior finite-Q",0.873434643877609,9.25132472073105,2.75468913638399,3.0427026813084,15.7161545627131,20.9618198650935,18.3503635861491
60,7,6.51089875251842,"VC + xQ boundary fitted-x",0.873434643877609,10.2717341358817,2.7484488726934,3.04776580445807,15.6183869790538,21.0682212749304,18.3503635861491
60,7,6.51089875251842,"Combined + chi-squared",0.685843906349748,3.84145882069412,2.79187792882156,3.01243361887636,16.3116231245557,20.3368318494864,18.3503635861491
70,6,7.59604854460483,"VC + chi-squared",0.89444453211085,3.84145882069412,2.77954039263,3.04122179804869,16.1116142294243,20.9308008304155,18.3503635861491
70,6,7.59604854460483,"VC + interior finite-Q",0.89444453211085,13.7235031099146,2.70933630085648,3.11190863039546,15.0193039070284,22.4638787520568,18.3503635861491
70,6,7.59604854460483,"VC + xQ boundary fitted-x",0.89444453211085,17.0378519388683,2.70004432507118,3.12120711289842,14.8803912846581,22.6737328860498,18.3503635861491
70,6,7.59604854460483,"Combined + chi-squared",0.670586503027493,3.84145882069412,2.76354480235856,3.05740044968323,15.8559496536478,21.2721871038577,18.3503635861491
84,5,9.11525825352579,"VC + chi-squared",0.915529785452048,3.84145882069412,2.79508331958989,3.06319891651174,16.363992137472,21.3958914763985,18.3503635861491
84,5,9.11525825352579,"VC + interior finite-Q",0.915529785452048,Inf,,,,,18.3503635861491
84,5,9.11525825352579,"VC + xQ boundary fitted-x",0.915529785452048,Inf,,,,,18.3503635861491
84,5,9.11525825352579,"Combined + chi-squared",0.640685439023841,3.84145882069412,2.78146199063898,3.08890074498472,16.1426040406929,21.9529328358417,18.3503635861491
