"phi","value","curve","panel"
-0.986139282735613,1.58899475577463,"Variance calibration","Even M"
-0.986056296914095,1.58981354218734,"Variance calibration","Even M"
-0.985973311092577,1.59061861719334,"Variance calibration","Even M"
-0.985890325271059,1.59141016616528,"Variance calibration","Even M"
-0.985807339449541,1.59218837170966,"Variance calibration","Even M"
-0.985724353628023,1.59295341370552,"Variance calibration","Even M"
-0.985641367806505,1.59370546934515,"Variance calibration","Even M"
-0.985558381984988,1.59444471317352,"Variance calibration","Even M"
-0.98547539616347,1.59517131712791,"Variance calibration","Even M"
-0.985392410341952,1.59588545057627,"Variance calibration","Even M"
-0.985309424520434,1.59658728035565,"Variance calibration","Even M"
-0.985226438698916,1.59727697081042,"Variance calibration","Even M"
-0.985143452877398,1.59795468382852,"Variance calibration","Even M"
-0.98506046705588,1.59862057888047,"Variance calibration","Even M"
-0.984977481234362,1.599274813055,"Variance calibration","Even M"
-0.984894495412844,1.59991754109446,"Variance calibration","Even M"
-0.984811509591326,1.60054891543243,"Variance calibration","Even M"
-0.984728523769808,1.60116908622773,"Variance calibration","Even M"
-0.98464553794829,1.60177820139966,"Variance calibration","Even M"
-0.984562552126772,1.60237640666276,"Variance calibration","Even M"
-0.984479566305254,1.60296384555974,"Variance calibration","Even M"
-0.984396580483736,1.60354065949683,"Variance calibration","Even M"
-0.984313594662219,1.60410698777621,"Variance calibration","Even M"
-0.984230608840701,1.60466296762687,"Variance calibration","Even M"
-0.984147623019183,1.60520873424028,"Variance calibration","Even M"
-0.984064637197665,1.60574442080004,"Variance calibration","Even M"
-0.983981651376147,1.60627015851294,"Variance calibration","Even M"
-0.983898665554629,1.60678607664185,"Variance calibration","Even M"
-0.983815679733111,1.60729230253333,"Variance calibration","Even M"
-0.983732693911593,1.60778896165141,"Variance calibration","Even M"
-0.983649708090075,1.60827617760485,"Variance calibration","Even M"
-0.983566722268557,1.60875407217564,"Variance calibration","Even M"
-0.983483736447039,1.6092227653511,"Variance calibration","Even M"
-0.983400750625521,1.6096823753483,"Variance calibration","Even M"
-0.983317764804003,1.61013301864549,"Variance calibration","Even M"
-0.983234778982485,1.61057481000749,"Variance calibration","Even M"
-0.983151793160968,1.61100786251382,"Variance calibration","Even M"
-0.98306880733945,1.61143228758533,"Variance calibration","Even M"
-0.982985821517932,1.61184819501042,"Variance calibration","Even M"
-0.982902835696414,1.61225569297069,"Variance calibration","Even M"
-0.982819849874896,1.612654888068,"Variance calibration","Even M"
-0.982736864053378,1.61304588534716,"Variance calibration","Even M"
-0.98265387823186,1.61342878832327,"Variance calibration","Even M"
-0.982570892410342,1.61380369900432,"Variance calibration","Even M"
-0.982487906588824,1.61417071791637,"Variance calibration","Even M"
-0.982404920767306,1.61452994412634,"Variance calibration","Even M"
-0.982321934945788,1.61488147526596,"Variance calibration","Even M"
-0.98223894912427,1.61522540755451,"Variance calibration","Even M"
