"boundary","parity","x","Q","method","rejection","mcse","q95_over_chisq","hull_failure","in_4_6_band"
"negative","even",0.25,5,"Combined",0.1278,0.0023607960521824,5.70684129240468,0.048,FALSE
"negative","even",0.25,6,"Variance",0.14695,0.00250355444817963,2.91432905509,0.02015,FALSE
"negative","even",0.25,6,"Combined",0.1086,0.002200068635293,2.13323556196676,0.02015,FALSE
"negative","even",0.25,8,"Variance",0.1076,0.00219114399344269,1.75050704731355,0.0036,FALSE
"negative","even",0.25,8,"Combined",0.0804,0.0019227043454468,1.39366340923512,0.0036,FALSE
"negative","even",0.25,10,"Variance",0.09165,0.00204022397667511,1.48317195804531,0.00085,FALSE
"negative","even",0.25,10,"Combined",0.07045,0.00180951371229952,1.23873037906629,0.00085,FALSE
"negative","even",0.25,15,"Variance",0.07265,0.00183537431468352,1.24875293407685,0,FALSE
"negative","even",0.25,15,"Combined",0.05895,0.00166545635637803,1.1091902865671,0,TRUE
"negative","even",0.25,20,"Variance",0.06955,0.00179878844642721,1.18470527821212,0,FALSE
"negative","even",0.25,20,"Combined",0.05925,0.00166942261725424,1.08443161968742,0,TRUE
"negative","even",0.25,30,"Variance",0.06185,0.00170329940850104,1.10940157992738,0,FALSE
"negative","even",0.25,30,"Combined",0.0548,0.00160930046914801,1.04616011011342,0,TRUE
"negative","even",0.25,50,"Variance",0.0549,0.00161068292969163,1.03974195499823,0,TRUE
"negative","even",0.25,50,"Combined",0.05015,0.0015432915716092,1.0038858360916,0,TRUE
"negative","even",0.25,100,"Variance",0.0542,0.00160097407849097,1.03288924153101,0,TRUE
"negative","even",0.25,100,"Combined",0.05195,0.00156925456029288,1.01496974066029,0,TRUE
"negative","even",0.25,200,"Variance",0.0512,0.0015585018447214,1.0162188489313,0,TRUE
"negative","even",0.25,200,"Combined",0.05045,0.00154765625220848,1.00737674674107,0,TRUE
"negative","even",0.5,5,"Variance",0.1726,0.00267216429135635,5.48368063772175,0.0412,FALSE
"negative","even",0.5,5,"Combined",0.1223,0.00231670790131169,3.67682881204508,0.0412,FALSE
"negative","even",0.5,6,"Variance",0.14135,0.00246343436588028,2.68144480410436,0.01735,FALSE
"negative","even",0.5,6,"Combined",0.10285,0.00214792780954109,1.93886730347117,0.01735,FALSE
"negative","even",0.5,8,"Variance",0.10685,0.00218441156264107,1.73448981577619,0.00235,FALSE
"negative","even",0.5,8,"Combined",0.07865,0.00190347284587934,1.36991173815768,0.00235,FALSE
"negative","even",0.5,10,"Variance",0.09245,0.00204820650204026,1.45482661398374,0.00065,FALSE
"negative","even",0.5,10,"Combined",0.0689,0.00179098841425622,1.20828698551468,0.00065,FALSE
"negative","even",0.5,15,"Variance",0.07555,0.00186871877900341,1.26330995565754,0,FALSE
"negative","even",0.5,15,"Combined",0.06125,0.00169555945781916,1.11904586912138,0,FALSE
"negative","even",0.5,20,"Variance",0.06575,0.00175252585572938,1.1589039836129,0,FALSE
"negative","even",0.5,20,"Combined",0.0556,0.0016203184872117,1.05910859462736,0,TRUE
"negative","even",0.5,30,"Variance",0.05995,0.00167863035686836,1.08414053054279,0,TRUE
"negative","even",0.5,30,"Combined",0.0524,0.00157566240038912,1.02156527368785,0,TRUE
"negative","even",0.5,50,"Variance",0.0558,0.00162305822446393,1.05122105208165,0,TRUE
"negative","even",0.5,50,"Combined",0.05155,0.00156353121970749,1.01465906637172,0,TRUE
"negative","even",0.5,100,"Variance",0.0505,0.00154838222025442,1.00483882951652,0,TRUE
"negative","even",0.5,100,"Combined",0.0487,0.00152197749654849,0.987308202510931,0,TRUE
"negative","even",0.5,200,"Variance",0.0507,0.00155128188927738,1.00239579827494,0,TRUE
"negative","even",0.5,200,"Combined",0.0493,0.00153084143528976,0.993637771661963,0,TRUE
"negative","even",1,5,"Variance",0.1661,0.00263164197792937,4.36966886909379,0.0354,FALSE
"negative","even",1,5,"Combined",0.11475,0.00225369072301414,2.89033498889473,0.0354,FALSE
"negative","even",1,6,"Variance",0.1399,0.00245283499241184,2.59480597320791,0.01635,FALSE
"negative","even",1,6,"Combined",0.09915,0.00211328272481464,1.85846259493222,0.01635,FALSE
"negative","even",1,8,"Variance",0.10955,0.00220849267035234,1.82468495379673,0.00385,FALSE
"negative","even",1,8,"Combined",0.08155,0.00193519504830908,1.43344827380859,0.00385,FALSE
"negative","even",1,10,"Variance",0.09245,0.00204820650204026,1.47797947893239,0.00055,FALSE
"negative","even",1,10,"Combined",0.0699,0.00180296963368771,1.22333048632617,0.00055,FALSE
"negative","even",1,15,"Variance",0.07485,0.0018607455159156,1.26492530063591,5e-05,FALSE
"negative","even",1,15,"Combined",0.06,0.00167928556237467,1.11877045242612,5e-05,TRUE
"negative","even",1,20,"Variance",0.0678,0.00177768332387971,1.14960862290167,0,FALSE
"negative","even",1,20,"Combined",0.0552,0.0016148213523483,1.0496921361674,0,TRUE
"negative","even",1,30,"Variance",0.0613,0.00169620620798298,1.0959394041603,0,FALSE
"negative","even",1,30,"Combined",0.05385,0.0015960917501823,1.03225160932455,0,TRUE
"negative","even",1,50,"Variance",0.05525,0.00161550978796168,1.04467365692353,0,TRUE
"negative","even",1,50,"Combined",0.0512,0.0015585018447214,1.00816314606831,0,TRUE
"negative","even",1,100,"Variance",0.055,0.00161206389451535,1.04529500368049,0,TRUE
"negative","even",1,100,"Combined",0.05335,0.00158908428819871,1.02699686786226,0,TRUE
"negative","even",1,200,"Variance",0.0512,0.0015585018447214,1.01139931480811,0,TRUE
"negative","even",1,200,"Combined",0.05025,0.00154474815908613,1.00253917686455,0,TRUE
"negative","even",2,5,"Variance",0.17235,0.00267063173706148,5.97555548741298,0.04215,FALSE
