"boundary","parity","x","Q","method","scale","nu","theta_block","theta_bartlett","aG_over_N","bartlett_multiplier","rejection","coverage","mcse","q95","q95_over_chisq","hull_failure","in_4_6_band","reps","seed"
"negative","odd",2,100,"Bartlett",0.981515235933431,1.55986830011772,-0.135335283236613,-0.205557952964976,0.018484764066569,0.981515235933431,0.0144,0.9856,0.000842396581189644,2.48972691378651,0.648120162156688,0,FALSE,20000,2608379
"negative","odd",2,100,"Combined",1.53103450261512,1.55986830011772,-0.135335283236613,-0.205557952964976,0.018484764066569,0.981515235933431,0.051,0.949,0.00155561884791873,3.8836460887655,1.01098209561537,0,TRUE,20000,2608379
"negative","odd",2,200,"Raw",1,1.5637582460033,-0.135335283236613,-0.205557952964976,0.00924636884773043,0.99075363115227,0.0141,0.9859,0.000833702284991471,2.49891777077744,0.650512705567909,0,FALSE,20000,2608380
"negative","odd",2,200,"Variance",1.5637582460033,1.5637582460033,-0.135335283236613,-0.205557952964976,0.00924636884773043,0.99075363115227,0.0523,0.9477,0.00157424124580701,3.90770327013741,1.01724460746173,0,TRUE,20000,2608380
"negative","odd",2,200,"Bartlett",0.99075363115227,1.5637582460033,-0.135335283236613,-0.205557952964976,0.00924636884773043,0.99075363115227,0.01365,0.98635,0.000820477833338598,2.47581185534869,0.644497825152093,0,FALSE,20000,2608380
"negative","odd",2,200,"Combined",1.54929916047207,1.5637582460033,-0.135335283236613,-0.205557952964976,0.00924636884773043,0.99075363115227,0.0512,0.9488,0.0015585018447214,3.87157120435423,1.00783878861278,0,TRUE,20000,2608380
"negative","odd",3,5,"Raw",1,1.26555843466888,-0.0497870683678639,-0.13606306582392,0.335794024766683,0.664205975233317,0.1417,0.8583,0.00246597962278686,17.7872816937266,4.63034553381275,0.04215,FALSE,20000,2608381
"negative","odd",3,5,"Variance",1.26555843466888,1.26555843466888,-0.0497870683678639,-0.13606306582392,0.335794024766683,0.664205975233317,0.1724,0.8276,0.00267093841186951,22.5108443773271,5.8599728457481,0.04215,FALSE,20000,2608381
"negative","odd",3,5,"Bartlett",0.664205975233317,1.26555843466888,-0.0497870683678639,-0.13606306582392,0.335794024766683,0.664205975233317,0.10145,0.89855,0.00213492268595376,11.8144187841314,3.07550317095333,0.04215,FALSE,20000,2608381
"negative","odd",3,5,"Combined",0.840591474313993,1.26555843466888,-0.0497870683678639,-0.13606306582392,0.335794024766683,0.664205975233317,0.1219,0.8781,0.00231344321304846,14.951837342968,3.89222897885087,0.04215,FALSE,20000,2608381
"negative","odd",3,6,"Raw",1,1.27888012787813,-0.0497870683678639,-0.13606306582392,0.280514262401687,0.719485737598313,0.1083,0.8917,0.00219739743787964,7.94449430490091,2.06809305415524,0.0178,FALSE,20000,2608382
