"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi065_N64_M4_Q16","gaussian_phi065_N64","gaussian","Gaussian","inside formal moment assumptions",0.65,"phi = 0.65",64,4,16,2,100000,0,2.25108225108225,0.906318750173691,-1.34476350090856,1.35031214941608,0.55728911946156,0.784473248766882,0.227184129305322,0.229078246826348,0,0,5e-04
"gaussian_phi065_N64_M8_Q8","gaussian_phi065_N64","gaussian","Gaussian","inside formal moment assumptions",0.65,"phi = 0.65",64,8,8,4,100000,0,2.25108225108225,1.3061810541974,-0.944901196884853,1.08522691694684,0.754105176820112,0.853653766769695,0.0995485899495827,0.115964479853838,0,0.00067,0.0164
"gaussian_phi065_N64_M16_Q4","gaussian_phi065_N64","gaussian","Gaussian","inside formal moment assumptions",0.65,"phi = 0.65",64,16,4,5,100000,0,2.25108225108225,1.35162385150371,-0.899458399578537,1.28953463256135,0.890781822626793,0.934634527049504,0.0438527044227111,0.0617668280450064,7e-05,0.00342,0.14523
"gaussian_phi070_N64_M4_Q16","gaussian_phi070_N64","gaussian","Gaussian","inside formal moment assumptions",0.7,"phi = 0.70",64,4,16,2,100000,0,2.74509803921569,0.953094432970905,-1.79200360624478,1.79511446894158,0.499943661969098,0.773198950622732,0.273255288653634,0.274437381881736,0,0,0.00085
"gaussian_phi070_N64_M8_Q8","gaussian_phi070_N64","gaussian","Gaussian","inside formal moment assumptions",0.7,"phi = 0.70",64,8,8,4,100000,0,2.74509803921569,1.44511592146598,-1.29998211774971,1.37536329434231,0.706967276308556,0.837927155122854,0.130959878814298,0.140330724502351,1e-05,0.00035,0.0185
"gaussian_phi070_N64_M16_Q4","gaussian_phi070_N64","gaussian","Gaussian","inside formal moment assumptions",0.7,"phi = 0.70",64,16,4,5,100000,0,2.74509803921569,1.55616474481927,-1.18893329439641,1.41969750416218,0.866152702976026,0.924778641035092,0.0586259380590659,0.0692740728183888,1e-04,0.00161,0.15027
"gaussian_phi075_N64_M4_Q16","gaussian_phi075_N64","gaussian","Gaussian","inside formal moment assumptions",0.75,"phi = 0.75",64,4,16,2,100000,0,3.42857142857143,0.996044968251672,-2.43252646031976,2.43419272157078,0.437499999750113,0.762830267023548,0.325330267273435,0.326055071953789,0,0,0.00194
"gaussian_phi075_N64_M8_Q8","gaussian_phi075_N64","gaussian","Gaussian","inside formal moment assumptions",0.75,"phi = 0.75",64,8,8,4,100000,0,3.42857142857143,1.57663496216736,-1.85193646640407,1.88833335403801,0.649107734741277,0.822953305816103,0.173845571074827,0.178791331174453,0,5e-05,0.02314
"gaussian_phi075_N64_M16_Q4","gaussian_phi075_N64","gaussian","Gaussian","inside formal moment assumptions",0.75,"phi = 0.75",64,16,4,5,100000,0,3.42857142857143,1.75084975574446,-1.67772167282697,1.79511809750368,0.832457945733796,0.915305839124957,0.0828478933911604,0.088351967741465,2e-05,0.00063,0.15802
"gaussian_phi080_N64_M4_Q16","gaussian_phi080_N64","gaussian","Gaussian","inside formal moment assumptions",0.8,"phi = 0.80",64,4,16,2,100000,0,4.44444444444445,1.03649889669261,-3.40794554775184,3.40880996554301,0.369671624474131,0.753048875525787,0.383377251051656,0.383825769063177,0,0,0.00376
