"scenario_id","innovation","module","panel","series","regime","regime_label","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","N_label","design_id","alpha_effective","L","seed"
"gaussian_phi045_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.45,64,4,16,0.45,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.45","N = 64","gaussian_phi045_N64_M4_Q16",0.333333333333333,2,2135083295
"gaussian_phi045_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.45,64,8,8,0.45,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.45","N = 64","gaussian_phi045_N64_M8_Q8",0.5,4,2135083295
"gaussian_phi045_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.45,64,16,4,0.45,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.45","N = 64","gaussian_phi045_N64_M16_Q4",0.666666666666667,5,2135083295
"gaussian_phi050_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.5,64,4,16,0.5,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.50","N = 64","gaussian_phi050_N64_M4_Q16",0.333333333333333,2,2140086795
"gaussian_phi050_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.5,64,8,8,0.5,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.50","N = 64","gaussian_phi050_N64_M8_Q8",0.5,4,2140086795
"gaussian_phi050_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.5,64,16,4,0.5,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.50","N = 64","gaussian_phi050_N64_M16_Q4",0.666666666666667,5,2140086795
"gaussian_phi055_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.55,64,4,16,0.55,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.55","N = 64","gaussian_phi055_N64_M4_Q16",0.333333333333333,2,2145090295
"gaussian_phi055_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.55,64,8,8,0.55,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.55","N = 64","gaussian_phi055_N64_M8_Q8",0.5,4,2145090295
"gaussian_phi055_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.55,64,16,4,0.55,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.55","N = 64","gaussian_phi055_N64_M16_Q4",0.666666666666667,5,2145090295
"gaussian_phi060_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.6,64,4,16,0.6,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.60","N = 64","gaussian_phi060_N64_M4_Q16",0.333333333333333,2,2610149
