"design_id","scenario_id","innovation","innovation_label","assumption_status","severity_group","phi","phi_label","N","M","Q","L","B_point","B_CI","statistic","coverage","coverage_error","coverage_mcse","gaussian_paired_coverage_error","gaussian_paired_error_mcse","rejection","mean_statistic_finite","ci_subset_coverage","ci_subset_coverage_mcse","n_finite_lengths","mean_length","mean_length_mcse","sd_length","median_length","q25_length","q75_length","q90_length","q95_length","mean_component_length","normalized_mean_length","relative_mean_length_to_raw","disconnected_rate","nonregular_rate","interval_failure_rate","convex_failure_rate"
"gaussian_phi055_N64_M4_Q16","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,4,16,2,100000,20000,"F_feasible_leading",0.9042,-0.0458,0.000930711340857089,-0.04569,0.000761465716431392,0.0958,1.44747681434601,0.90595,0.00206403243070452,20000,0.824271964738326,0.00122901937413626,0.173809586732279,0.816644304261038,0.704037412874703,0.93687923650409,1.05085607763601,1.1242674193459,0.824271964738326,0.917784497228525,1.18936590090036,0,0,0,0.00027
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"raw",0.84351,-0.10649,0.00114891635857446,-0.10638,0.001018058603634,0.15649,2.08336098010393,0.84355,0.00256878762746164,20000,0.715282511354103,0.00140442113248214,0.198615141283962,0.702955701378476,0.576438290331126,0.845411503344927,0.975392370628451,1.0618264952199,0.715282511354103,0.796430338702454,1,0,0,0,0.01312
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"K_leading",0.8751,-0.0749,0.00104546635526926,-0.07479,0.000921288796594459,0.1249,1.69273079633444,0.8771,0.00232158986472633,20000,0.788959307086078,0.00155304508212853,0.219633741812301,0.77532584863871,0.63494963200778,0.932626406589873,1.07641968322019,1.17113717768196,0.788959307086078,0.878465666629379,1.10300377062554,0,0,0,0.01312
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"V_oracle",0.8731,-0.0769,0.00105259864145837,-0.07679,0.000927114639306027,0.1269,1.71844675662763,0.87515,0.00233733264106759,20000,0.783416504250079,0.00154181978818344,0.218046245518424,0.769863070663018,0.630627772389234,0.925936415447256,1.06892285963142,1.16281913924949,0.783416504250079,0.872294040355897,1.09525466066127,0,0,0,0.01312
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"V_feasible",0.86469,-0.08531,0.0010816709476546,-0.0852,0.000966963779150751,0.13531,1.81937434963729,0.8664,0.00240573315228435,20000,0.775277529769767,0.00164284777178545,0.23233375997734,0.761522799491113,0.61273344960223,0.92800054587978,1.07915295169725,1.17767854805395,0.775277529769767,0.86323171029868,1.08387597552481,0,0,0,0.01312
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"VK_leading_oracle",0.90064,-0.04936,0.000945978807373611,-0.04925,0.000842645521862399,0.09936,1.39623798975995,0.9014,0.00210805645085704,20000,0.862307928509436,0.00170229715345821,0.240741172160972,0.847184879941823,0.693539947264229,1.01931201562313,1.17721203275461,1.28273969489212,0.862307928509436,0.960135589319049,1.20554873748695,0,0,0,0.01312
"gaussian_phi055_N64_M8_Q8","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,100000,20000,"F_feasible_leading",0.89374,-0.05626,0.000974519432335754,-0.05615,0.00088112402009898,0.10626,1.4782416590803,0.89455,0.00217175387072292,20000,0.856603393135956,0.00181071653263221,0.256073987806165,0.841535453257376,0.67759333913595,1.02469321434972,1.19181624253272,1.30219925894687,0.856603393135956,0.953783882171842,1.19757351751033,0,0,0,0.01312
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"raw",0.74082,-0.20918,0.00138566131359723,-0.20907,0.00131522418208703,0.25918,1.85925316381893,0.7411,0.00309734394280002,20000,0.599761155518975,0.00179168800317066,0.253382947362512,0.576069892422752,0.415137945005341,0.759170407235964,0.940139558047988,1.05150915795222,0.599761155518975,0.667803242282938,1,0,0,0,0.13873
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"K_leading",0.79576,-0.15424,0.00127485694256258,-0.15413,0.00120812003813374,0.20424,1.16203322738683,0.7964,0.00284734121594164,20000,0.704230885175056,0.00210822578321612,0.298148149516887,0.675695870075138,0.486857519155166,0.891275443114668,1.10453058531338,1.23548462174372,0.704230885175056,0.784124920575666,1.17418555485756,0,0,0,0.13873
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"V_oracle",0.75133,-0.19867,0.00136686952961868,-0.19856,0.00129628548844793,0.24867,1.71834912476775,0.7519,0.00305406606018927,20000,0.617478574186936,0.00184518847933329,0.260949057260772,0.593126236861833,0.427075328867448,0.781939204226248,0.968150156258672,1.08316705011079,0.617478574186936,0.687530677983756,1.02954079053791,0,0,0,0.13873
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"V_feasible",0.74737,-0.20263,0.0013740745361879,-0.20252,0.00130655025419448,0.25263,1.77006319063049,0.74835,0.00306856870136551,20000,0.616249623392313,0.00189115420915135,0.267449593112081,0.589952645662339,0.419930136914431,0.784117759388967,0.977653293426751,1.09436538581315,0.616249623392313,0.686162304394197,1.02749172353296,0,0,0,0.13873
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"VK_leading_oracle",0.80338,-0.14662,0.00125682367737086,-0.14651,0.00119216710725641,0.19662,1.07396820297985,0.80425,0.00280563662561637,20000,0.72096000070819,0.00215917602666475,0.305353602046015,0.691704347732269,0.498362819845931,0.912388385232189,1.1314666170989,1.26543806641729,0.72096000070819,0.802751931496181,1.20207851754644,0,0,0,0.13873
"gaussian_phi055_N64_M16_Q4","gaussian_phi055_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,100000,20000,"F_feasible_leading",0.80062,-0.14938,0.00126343822801117,-0.14927,0.00120170674958208,0.19938,1.10628949414405,0.8009,0.00282364294839132,20000,0.721171751581648,0.00220392850930597,0.311682558836122,0.690418337424662,0.492429814427501,0.916422302807953,1.14223982016642,1.27823185126245,0.721171751581648,0.802987705218021,1.2024315762124,0,0,0,0.13873
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"raw",0.83407,-0.11593,0.00117642354235199,-0.11584,0.00101991242085459,0.16593,2.17806445241385,0.8344,0.00262846571215985,20000,0.7129800802284,0.00100411152430982,0.142002813581407,0.706898915744073,0.612606784781548,0.805328812285975,0.898891419407499,0.957443152022616,0.7129800802284,0.738441485259482,1,0,0,0,0.00036
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"K_leading",0.85303,-0.09697,0.00111968664857629,-0.09688,0.000950763743270091,0.14697,1.97387091000005,0.8531,0.00250320184963179,20000,0.749887467306886,0.0010573252701229,0.149528373684761,0.743430447067613,0.644039900986681,0.847005249444782,0.946119805000293,1.00728308200881,0.749887467306886,0.77666688101325,1.05176496244701,0,0,0,0.00036
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"V_oracle",0.91677,-0.03323,0.000873514551109482,-0.03314,0.000709240744898615,0.08323,1.32833007602504,0.91685,0.00195238415149273,20000,0.918703743416096,0.00130407972761066,0.184424723720281,0.910799828916438,0.789406613479459,1.03796695949287,1.16137276419492,1.23758881409846,0.918703743416096,0.951511796212179,1.28854054817604,0,0,0,0.00036
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"V_feasible",0.87757,-0.07243,0.00103653699933963,-0.07234,0.000861206514586721,0.12243,1.7167888137683,0.87865,0.00230894107222337,20000,0.810333468279359,0.00122073500909227,0.172638000592193,0.802527760564836,0.688677474912047,0.922335148363327,1.03668640554712,1.10716891737943,0.810333468279359,0.83927148382601,1.13654433097173,0,0,0,0.00036
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"VK_leading_oracle",0.92935,-0.0206499999999999,0.000810299805627522,-0.02056,0.000664362309115123,0.07065,1.20379913139769,0.9297,0.00180773214276894,20000,0.96612494446048,0.00137447150396811,0.194379624200705,0.957552950723138,0.829829626831855,1.09166495815683,1.22212915730879,1.30195467728462,0.96612494446048,1.00062646729918,1.35505180474465,0,0,0,0.00036
"gaussian_phi060_N64_M4_Q16","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,100000,20000,"F_feasible_leading",0.89383,-0.0561699999999999,0.00097415569135534,-0.05608,0.000802095237217935,0.10617,1.55583986247752,0.89465,0.00217084519830411,20000,0.853239925747602,0.00128560122645507,0.181811469025624,0.845175818379929,0.725149243828645,0.971308656042594,1.09188628595972,1.16616026926325,0.853239925747602,0.883710184231108,1.1967233719549,0,0,0,0.00036
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"raw",0.83571,-0.11429,0.00117174568870553,-0.1142,0.00104038186448258,0.16429,2.18539305611015,0.8356,0.00262080750914675,20000,0.750759737927028,0.00148260725645217,0.209672328974743,0.740635602896308,0.601035706319452,0.885461403211879,1.02598696843631,1.11372469210493,0.750759737927028,0.777570301501631,1,0,0,0,0.01465
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"K_leading",0.86681,-0.08319,0.00107447858936323,-0.0831,0.000947287112510634,0.13319,1.7756318580895,0.8683,0.00239118286628187,20000,0.828107217395293,0.00163981598106009,0.231905000021132,0.816949342558557,0.662832384560482,0.978030162637664,1.13153998113762,1.22922645529096,0.828107217395293,0.857679955618932,1.10302560934052,0,0,0,0.01465
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"V_oracle",0.87046,-0.0795399999999999,0.00106188223640854,-0.07945,0.000935834244328198,0.12954,1.73255296452148,0.87165,0.00236512449460911,20000,0.837653080735421,0.00165931449552883,0.234662506381914,0.826208606621406,0.670309736203074,0.989195621792903,1.14499602775613,1.24398165332413,0.837653080735421,0.867566713606211,1.11574054710009,0,0,0,0.01465
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"V_feasible",0.85943,-0.0905699999999999,0.00109913636597103,-0.09048,0.00098099098845667,0.14057,1.87378828779953,0.8611,0.0024454732670794,20000,0.818953622251619,0.001730802434715,0.244772427696232,0.807399109921591,0.644870607477211,0.976242126295851,1.13976073176619,1.2425076606744,0.818953622251619,0.848199474213066,1.09083316656389,0,0,0,0.01465
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"VK_leading_oracle",0.89697,-0.0530299999999999,0.000961326266675367,-0.05294,0.000856259829613043,0.10303,1.4076992836737,0.8995,0.00212602622279218,20000,0.921567986979025,0.00183167243801352,0.259037600366371,0.908478429817182,0.737146053276342,1.08839196312813,1.25949965740453,1.37124669387169,0.921567986979025,0.954478325473524,1.22751386418727,0,0,0,0.01465
"gaussian_phi060_N64_M8_Q8","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,8,8,4,100000,20000,"F_feasible_leading",0.8873,-0.0627,0.000999993549979199,-0.06261,0.000899615457892827,0.1127,1.52245298383712,0.89,0.00221246468898376,20000,0.904372563380834,0.00190799248408192,0.269830884789458,0.891969553951567,0.711929903929934,1.07796165758748,1.25616570062769,1.37290099568725,0.904372563380834,0.936668831921549,1.20460983413676,0,0,0,0.01465
"gaussian_phi060_N64_M16_Q4","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,16,4,5,100000,20000,"raw",0.73654,-0.21346,0.00139301410043115,-0.21337,0.00132183580807112,0.26346,1.88702058231001,0.73545,0.00311900062119263,20000,0.637977871253698,0.00192044307003043,0.271591663540246,0.615249383553739,0.438204026661342,0.809584066725614,1.00112432875794,1.12605500002013,0.637977871253698,0.660760854160674,1,0,0,0,0.14228
"gaussian_phi060_N64_M16_Q4","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,16,4,5,100000,20000,"K_leading",0.79203,-0.15797,0.00128342697143234,-0.15788,0.00121636912635043,0.20797,1.17938786394376,0.79255,0.00286718064917438,20000,0.749234706863244,0.00226087629014676,0.319736191237332,0.721475500852665,0.514638763887742,0.950712349549367,1.17862447729188,1.32351648331907,0.749234706863244,0.775990809682663,1.17438980350669,0,0,0,0.14228
"gaussian_phi060_N64_M16_Q4","gaussian_phi060_N64","gaussian","Gaussian","inside formal moment assumptions","regular",0.6,"phi = 0.60",64,16,4,5,100000,20000,"V_oracle",0.74946,-0.20054,0.00137029087569027,-0.20045,0.00129927474236536,0.25054,1.71622785545047,0.74835,0.00306856870136551,20000,0.660691161136333,0.00198970194622167,0.281386347742683,0.637208362792077,0.453877110133847,0.838551931749826,1.03780515365474,1.16625061181554,0.660691161136333,0.684285263861838,1.03560200268075,0,0,0,0.14228
