"regime","regime_label","alpha_nominal","N","M","Q","statistic","n_phi","coverage_phi_000","coverage_phi_050","coverage_phi_080","coverage_phi_090","coverage_phi_095","coverage_range","coverage_sd_across_phi","coverage_slope_per_unit_phi","drop_phi000_to_095","drop_phi050_to_095","mean_absolute_coverage_error","max_absolute_coverage_error","normalized_length_phi_000","normalized_length_phi_050","normalized_length_phi_080","normalized_length_phi_090","normalized_length_phi_095","normalized_length_range","normalized_length_slope_per_unit_phi"
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"K_leading",20,0.9146,0.91294,0.90783,0.90043,0.87464,0.04112,0.00920544409860989,-0.0207900751879698,-0.03996,-0.0383,0.040007,0.07536,0.995163890838208,0.986356347495558,0.965868045423071,0.933444892131895,0.866082716540971,0.132428932418809,-0.0749116701043267
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"V_oracle",20,0.89196,0.89134,0.89062,0.89096,0.88364,0.00968999999999998,0.00197366477183411,-0.00381984962406029,-0.00831999999999999,-0.00770000000000004,0.058985,0.06636,0.911124539874755,0.909612215912345,0.906210390522571,0.90202215887772,0.891687861936648,0.0230396800709374,-0.0125192382378774
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"V_feasible",20,0.89103,0.89106,0.88906,0.88302,0.85691,0.0360400000000001,0.00779493789854066,-0.014024661654135,-0.03412,-0.03415,0.0613359999999999,0.09309,0.91285281485191,0.91106613472212,0.902979719233848,0.878557906978232,0.818122129368549,0.0983269737692678,-0.0444743701679375
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"VK_asym_full_oracle",20,0.9146,0.91349,0.90952,0.90477,0.88841,0.02754,0.00616014832357315,-0.0144399999999998,-0.0261899999999999,-0.02508,0.0385419999999999,0.0615899999999999,0.995163890838208,0.988183676635317,0.972567271964381,0.949802087977899,0.906079514133141,0.0925646022373777,-0.0544099975936004
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"VK_leading_oracle",20,0.9146,0.91481,0.91393,0.91376,0.90775,0.00857000000000008,0.00179737791474722,-0.00351789473684209,-0.00685000000000002,-0.00706000000000007,0.0357609999999999,0.04225,0.995163890838208,0.993375006764893,0.989459821454782,0.984480304804722,0.972072747707775,0.0269671154471877,-0.0145992613075243
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"VK_asym_full_feasible",20,0.91408,0.91296,0.90831,0.89788,0.86224,0.05344,0.0118499195089427,-0.0241105263157893,-0.05184,-0.05072,0.0407785,0.0877599999999999,0.997747008366378,0.990268712166203,0.969375608158906,0.925388530055885,0.831534290305791,0.169672146137242,-0.0879367959047184
"alpha_2_3","M = N^(2/3)",0.666666666666667,729,81,9,"F_feasible_leading",20,0.91408,0.91449,0.91248,0.90715,0.88398,0.0322,0.00695908484228388,-0.0124837593984966,-0.0301,-0.03051,0.0378175,0.06602,0.997747008366378,0.995504712808594,0.986285627082027,0.95941370670105,0.893232502845464,0.108373932310063,-0.0495297868108466
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"raw",20,0.94946,0.93843,0.90555,0.83903,0.73038,0.21908,0.0520728295249724,-0.123057443609022,-0.21908,-0.20805,0.030268,0.21962,1.0007582452155,0.958079292756002,0.854963544254163,0.719406971787376,0.562701256144709,0.438056989070794,-0.301475528226067
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"K_asym_full",20,0.95004,0.93896,0.90562,0.83777,0.72634,0.2237,0.0531646498575293,-0.125388421052632,-0.2237,-0.21262,0.0300885,0.22366,1.00372501090785,0.960128085051684,0.855150522356844,0.717348616411962,0.557688596764658,0.44603641414319,-0.307004995262606
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"K_leading",20,0.95004,0.93915,0.90632,0.84016,0.73185,0.21819,0.0518802707125794,-0.122514736842105,-0.21819,-0.2073,0.0294335,0.21815,1.00372501090785,0.960919589582076,0.857498149871644,0.721539513524706,0.564369013698147,0.439355997209701,-0.30236942939168
