"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi020_N64_M16_Q4","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,16,4,"K_asym_full_minus_K_leading",-0.00493,0.000221489145500216,-0.00758092513816373,2.36516816371646e-05
"gaussian_phi020_N64_M16_Q4","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,16,4,"V_oracle_minus_V_feasible",0.00264,0.000280946780211009,-0.00175387145548156,8.08289061938329e-05
"gaussian_phi020_N64_M16_Q4","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00479,0.000218336977423333,-0.00754303321055574,2.35474554316075e-05
"gaussian_phi020_N64_M16_Q4","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00259,0.0002404859607856,-0.00303414859943338,7.64383916565081e-05
"gaussian_phi020_N64_M16_Q4","gaussian_phi020_N64","gaussian","Gaussian",0.2,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00255,0.000240074053899028,-0.0031402576744759,7.52589174292263e-05
"gaussian_phi025_N64_M4_Q16","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,4,16,"K_asym_full_minus_K_leading",-0.00658,0.000255671057565961,-0.0136502376956885,1.90200027147423e-05
"gaussian_phi025_N64_M4_Q16","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,4,16,"V_oracle_minus_V_feasible",0.00391,0.000298576640881541,-0.00236851183763147,0.000165673874017656
"gaussian_phi025_N64_M4_Q16","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00558,0.000235561437616408,-0.0146311708729824,2.06225950195865e-05
"gaussian_phi025_N64_M4_Q16","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00348,0.000287888389479757,-0.00325830737048187,0.000169450670368611
"gaussian_phi025_N64_M4_Q16","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00342,0.000282990877659278,-0.00406544384168519,0.000172648152402232
"gaussian_phi025_N64_M8_Q8","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,8,8,"K_asym_full_minus_K_leading",-0.00633,0.000250798604460631,-0.0138410487520289,2.84183183829239e-05
"gaussian_phi025_N64_M8_Q8","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,8,8,"V_oracle_minus_V_feasible",0.00447,0.000368648274125216,-0.00946722489031117,0.000204236369947361
"gaussian_phi025_N64_M8_Q8","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00614,0.000247029581702561,-0.0141413805414878,2.91390724119613e-05
"gaussian_phi025_N64_M8_Q8","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00351,0.000344061016071027,-0.0127087414788371,0.000213459762631917
"gaussian_phi025_N64_M8_Q8","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00308,0.000339567797446829,-0.0138138560993709,0.000216138268734055
"gaussian_phi025_N64_M16_Q4","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,16,4,"K_asym_full_minus_K_leading",-0.00601,0.00024441644051488,-0.0101167243539194,3.15384730868009e-05
"gaussian_phi025_N64_M16_Q4","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,16,4,"V_oracle_minus_V_feasible",0.0029,0.000272243716486555,-0.00170723952612009,8.08020714539123e-05
"gaussian_phi025_N64_M16_Q4","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00575,0.000239102377025966,-0.0100526080495036,3.13617260761848e-05
"gaussian_phi025_N64_M16_Q4","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00235,0.000237160994797573,-0.00295891905864421,7.66517405184489e-05
"gaussian_phi025_N64_M16_Q4","gaussian_phi025_N64","gaussian","Gaussian",0.25,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.002,0.000229696599028536,-0.00309757626023948,7.51463753298166e-05
"gaussian_phi030_N64_M4_Q16","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,4,16,"K_asym_full_minus_K_leading",-0.00771,0.000276597765831976,-0.0173398198199921,2.43133815082491e-05
"gaussian_phi030_N64_M4_Q16","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,4,16,"V_oracle_minus_V_feasible",0.00572,0.000292358804787383,0.00247563734914619,0.000149314134450088
"gaussian_phi030_N64_M4_Q16","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00614,0.000247029581702561,-0.0189137617206278,2.68982815141386e-05
"gaussian_phi030_N64_M4_Q16","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00537,0.00028286468695175,0.00190863491761421,0.000151987663623668
"gaussian_phi030_N64_M4_Q16","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00472,0.000271620974483816,0.0011169972705316,0.000155428639021192
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,8,8,"K_asym_full_minus_K_leading",-0.00786,0.000279254335382351,-0.0177578971172699,3.62395994666822e-05
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,8,8,"V_oracle_minus_V_feasible",0.00401,0.000358246399011664,-0.00890424729683429,0.000199479760625714
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00705,0.000264582076181948,-0.0182399161460118,3.73954240605767e-05
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00382,0.000332949222182371,-0.0118341264275654,0.000207772252195652
"gaussian_phi030_N64_M8_Q8","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.00372,0.00032072206757011,-0.0131593301376002,0.000210938817862316
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,16,4,"K_asym_full_minus_K_leading",-0.00753,0.000273374721467409,-0.0131523628110778,4.07016283003764e-05
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,16,4,"V_oracle_minus_V_feasible",0.0031,0.000269266828715032,-0.001775240257183,7.99710589595881e-05
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00754,0.000273554806798059,-0.013050375313374,4.04255874019346e-05
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00275,0.000240051976141652,-0.0030010233697632,7.60502737323985e-05
"gaussian_phi030_N64_M16_Q4","gaussian_phi030_N64","gaussian","Gaussian",0.3,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00264,0.000237762211692046,-0.00317327156352412,7.42458095446607e-05
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,4,16,"K_asym_full_minus_K_leading",-0.00994,0.000313708380712855,-0.0214974350244653,3.03185728051579e-05
