"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"gaussian_phi040_N64","gaussian_phi040_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",64,4,16,2,2130079795,2.33333333333333,2.22222222222222,0.952380952380952,1.792,2.29861111111111,0.779601208459214,1.23809523809524,0.980654761904762,0.90625,0.238095238095238,0.09375,0.331845238095238,0.742883736198139,1.97573241343522,0.737637175339981
"gaussian_phi040_N64","gaussian_phi040_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",64,8,8,4,2130079795,2.33333333333333,2.22222222222222,0.952380952380952,2.0557376,2.29861111111111,0.894339016314199,7.23809523809524,0.886904761904762,0.8125,0.119047619047619,0.1875,0.306547619047619,0.742883736198139,7.75389499798156,0.515799759886319
"gaussian_phi040_N64","gaussian_phi040_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.4,"phi = 0.40",64,16,4,5,2130079795,2.33333333333333,2.22222222222222,0.952380952380952,2.19444450409677,2.29861111111111,0.954682805407657,19.2380952380952,0.699404761904762,0.625,0.0595238095238095,0.375,0.43452380952381,0.742883736198139,19.9697361340647,0.731640895969466
"gaussian_phi045_N64","gaussian_phi045_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",64,4,16,2,2135083295,2.63636363636364,2.97520661157025,1.12852664576803,1.9230625,2.58987603305785,0.742530714000798,0.357366771159874,0.994416144200627,0.90625,0.282131661442006,0.09375,0.375881661442006,0.788547007622817,1.40504049658516,1.04767372542528
"gaussian_phi045_N64","gaussian_phi045_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",64,8,8,4,2135083295,2.63636363636364,2.97520661157025,1.12852664576803,2.26508816582031,2.58987603305785,0.874593276631058,6.35736677115987,0.900666144200627,0.8125,0.141065830721003,0.1875,0.328565830721003,0.788547007622817,7.01018542798542,0.652818656825544
"gaussian_phi045_N64","gaussian_phi045_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.45,"phi = 0.45",64,16,4,5,2135083295,2.63636363636364,2.97520661157025,1.12852664576803,2.45041374891239,2.58987603305785,0.946150980832547,18.3573667711599,0.713166144200627,0.625,0.0705329153605016,0.375,0.445532915360502,0.788547007622817,19.2285234201692,0.871156649009276
"gaussian_phi050_N64","gaussian_phi050_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",64,4,16,2,2140086795,3,4,1.33333333333333,2.0625,2.9375,0.702127659574468,-0.666666666666666,1.01041666666667,0.90625,0.333333333333333,0.09375,0.427083333333333,0.839802256702024,0.821906653180172,1.48857331984684
"gaussian_phi050_N64","gaussian_phi050_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",64,8,8,4,2140086795,3,4,1.33333333333333,2.501953125,2.9375,0.851728723404255,5.33333333333333,0.916666666666667,0.8125,0.166666666666667,0.1875,0.354166666666667,0.839802256702024,6.16933018797456,0.83599685464123
"gaussian_phi050_N64","gaussian_phi050_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.50",64,16,4,5,2140086795,3,4,1.33333333333333,2.75000381469727,2.9375,0.936171511386303,17.3333333333333,0.729166666666667,0.625,0.0833333333333333,0.375,0.458333333333333,0.839802256702024,18.368609240782,1.03527590744865
"gaussian_phi055_N64","gaussian_phi055_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",64,4,16,2,2145090295,3.44444444444445,5.4320987654321,1.57706093189964,2.2106875,3.35956790123457,0.658027331189711,-1.88530465949821,1.02945788530466,0.90625,0.39426523297491,0.09375,0.48801523297491,0.898110577403973,0.234602427673044,2.11990708717125
"gaussian_phi055_N64","gaussian_phi055_N64_M8_Q8","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",64,8,8,4,2145090295,3.44444444444445,5.4320987654321,1.57706093189964,2.77111773652344,3.35956790123457,0.824843497136972,4.11469534050179,0.93570788530466,0.8125,0.197132616487455,0.1875,0.384632616487455,0.898110577403973,5.20923765506827,1.09454231456648
"gaussian_phi055_N64","gaussian_phi055_N64_M16_Q4","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.55,"phi = 0.55",64,16,4,5,2145090295,3.44444444444445,5.4320987654321,1.57706093189964,3.10496207564688,3.35956790123457,0.924214710619743,16.1146953405018,0.748207885304659,0.625,0.0985663082437276,0.375,0.473566308243728,0.898110577403973,17.3483536167346,1.23365827623276
"gaussian_phi060_N64","gaussian_phi060_N64_M4_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.6,"phi = 0.60",64,4,16,2,2610149,4,7.5,1.875,2.368,3.8828125,0.609867203219316,-3.375,1.052734375,0.90625,0.46875,0.09375,0.5625,0.965520077705094,-0.343075202659727,3.03192479734027
